label,count,descr
"<span>Fonctionnement</span>",28357095,"Dépenses et recettes nécessaires à la gestion courante et régulière de la commune (celles qui reviennent chaque année). L’excédent est utilisé au remboursement du capital emprunté par la commune, le surplus financera les projets d'investissement de la commune (autofinancement).</br>Pour plus de détails, rendez-vous sur <a href='depenses_recettes.html#sect_fonct'>la page des dépenses et recettes</a>"
"<span>Investissement</span>",11561723,"Dépenses et recettes qui modifient ou enrichissent le patrimoine de la collectivité.</br>Pour plus de détails, rendez-vous sur <a href='depenses_recettes.html#sect_invest'>la page des dépenses et recettes</a>"
